,nodes,rho,network,beta,lambda,physical_infectivity,factor,hidden_infectivity,aware,infected
141,100,0.2,barabassi,0.3684210526315789,0.05263157894736842,0.4,0.01,0.6,0.8016129032258064,0.5325806451612903
142,100,0.2,barabassi,0.3684210526315789,0.10526315789473684,0.4,0.01,0.6,0.8077419354838711,0.5061290322580645
143,100,0.2,barabassi,0.3684210526315789,0.15789473684210525,0.4,0.01,0.6,0.8170967741935483,0.5064516129032258
144,100,0.2,barabassi,0.3684210526315789,0.21052631578947367,0.4,0.01,0.6,0.8129032258064517,0.47645161290322585
145,100,0.2,barabassi,0.3684210526315789,0.2631578947368421,0.4,0.01,0.6,0.8206451612903226,0.48161290322580647
146,100,0.2,barabassi,0.3684210526315789,0.3157894736842105,0.4,0.01,0.6,0.8158064516129032,0.48258064516129034
147,100,0.2,barabassi,0.3684210526315789,0.3684210526315789,0.4,0.01,0.6,0.8235483870967742,0.4932258064516129
148,100,0.2,barabassi,0.3684210526315789,0.42105263157894735,0.4,0.01,0.6,0.8222580645161289,0.49
149,100,0.2,barabassi,0.3684210526315789,0.47368421052631576,0.4,0.01,0.6,0.8283870967741936,0.49548387096774194
150,100,0.2,barabassi,0.3684210526315789,0.5263157894736842,0.4,0.01,0.6,0.8183870967741936,0.4780645161290322
151,100,0.2,barabassi,0.3684210526315789,0.5789473684210527,0.4,0.01,0.6,0.8174193548387096,0.4845161290322581
152,100,0.2,barabassi,0.3684210526315789,0.631578947368421,0.4,0.01,0.6,0.8177419354838711,0.4854838709677419
153,100,0.2,barabassi,0.3684210526315789,0.6842105263157894,0.4,0.01,0.6,0.82,0.48161290322580647
154,100,0.2,barabassi,0.3684210526315789,0.7368421052631579,0.4,0.01,0.6,0.8212903225806452,0.4848387096774194
155,100,0.2,barabassi,0.3684210526315789,0.7894736842105263,0.4,0.01,0.6,0.8196774193548387,0.47774193548387095
156,100,0.2,barabassi,0.3684210526315789,0.8421052631578947,0.4,0.01,0.6,0.8141935483870968,0.48354838709677417
157,100,0.2,barabassi,0.3684210526315789,0.894736842105263,0.4,0.01,0.6,0.82,0.4767741935483871
158,100,0.2,barabassi,0.3684210526315789,0.9473684210526315,0.4,0.01,0.6,0.8167741935483871,0.47483870967741937
159,100,0.2,barabassi,0.3684210526315789,1.0,0.4,0.01,0.6,0.8187096774193549,0.47903225806451616
160,100,0.2,barabassi,0.42105263157894735,0.0,0.4,0.01,0.6,0.7606451612903226,0.6209677419354839
161,100,0.2,barabassi,0.42105263157894735,0.05263157894736842,0.4,0.01,0.6,0.7980645161290323,0.5441935483870968
162,100,0.2,barabassi,0.42105263157894735,0.10526315789473684,0.4,0.01,0.6,0.8138709677419356,0.515483870967742
163,100,0.2,barabassi,0.42105263157894735,0.15789473684210525,0.4,0.01,0.6,0.8187096774193549,0.5087096774193548
164,100,0.2,barabassi,0.42105263157894735,0.21052631578947367,0.4,0.01,0.6,0.8235483870967742,0.4941935483870968
165,100,0.2,barabassi,0.42105263157894735,0.2631578947368421,0.4,0.01,0.6,0.8238709677419355,0.49096774193548387
166,100,0.2,barabassi,0.42105263157894735,0.3157894736842105,0.4,0.01,0.6,0.8235483870967742,0.4829032258064516
167,100,0.2,barabassi,0.42105263157894735,0.3684210526315789,0.4,0.01,0.6,0.8248387096774193,0.48774193548387096
168,100,0.2,barabassi,0.42105263157894735,0.42105263157894735,0.4,0.01,0.6,0.8248387096774193,0.4974193548387097
169,100,0.2,barabassi,0.42105263157894735,0.47368421052631576,0.4,0.01,0.6,0.8238709677419355,0.5090322580645161
170,100,0.2,barabassi,0.42105263157894735,0.5263157894736842,0.4,0.01,0.6,0.8287096774193549,0.5019354838709678
171,100,0.2,barabassi,0.42105263157894735,0.5789473684210527,0.4,0.01,0.6,0.8241935483870968,0.4883870967741935
172,100,0.2,barabassi,0.42105263157894735,0.631578947368421,0.4,0.01,0.6,0.8241935483870968,0.4912903225806452
