,nodes,rho,network,beta,lambda,physical_infectivity,factor,hidden_infectivity,aware,infected
96,1000,0.2,barabassi,0.21052631578947367,0.8421052631578947,0.4,0.01,0.6,0.8388709677419355,0.4791290322580645
97,1000,0.2,barabassi,0.21052631578947367,0.894736842105263,0.4,0.01,0.6,0.8389354838709677,0.4743225806451613
98,1000,0.2,barabassi,0.21052631578947367,0.9473684210526315,0.4,0.01,0.6,0.8365483870967741,0.47719354838709677
99,1000,0.2,barabassi,0.21052631578947367,1.0,0.4,0.01,0.6,0.8367096774193549,0.47303225806451615
100,1000,0.2,barabassi,0.2631578947368421,0.0,0.4,0.01,0.6,0.7869677419354839,0.6271612903225806
101,1000,0.2,barabassi,0.2631578947368421,0.05263157894736842,0.4,0.01,0.6,0.815741935483871,0.561741935483871
102,1000,0.2,barabassi,0.2631578947368421,0.10526315789473684,0.4,0.01,0.6,0.8339032258064516,0.5370967741935484
103,1000,0.2,barabassi,0.2631578947368421,0.15789473684210525,0.4,0.01,0.6,0.8368064516129031,0.5121935483870969
104,1000,0.2,barabassi,0.2631578947368421,0.21052631578947367,0.4,0.01,0.6,0.8417096774193549,0.5009677419354839
105,1000,0.2,barabassi,0.2631578947368421,0.2631578947368421,0.4,0.01,0.6,0.8423548387096774,0.4988709677419355
106,1000,0.2,barabassi,0.2631578947368421,0.3157894736842105,0.4,0.01,0.6,0.8441612903225806,0.49748387096774194
107,1000,0.2,barabassi,0.2631578947368421,0.3684210526315789,0.4,0.01,0.6,0.8461935483870968,0.4946774193548387
108,1000,0.2,barabassi,0.2631578947368421,0.42105263157894735,0.4,0.01,0.6,0.8452580645161291,0.494258064516129
109,1000,0.2,barabassi,0.2631578947368421,0.47368421052631576,0.4,0.01,0.6,0.8469032258064516,0.49606451612903224
110,1000,0.2,barabassi,0.2631578947368421,0.5263157894736842,0.4,0.01,0.6,0.8467096774193549,0.492
111,1000,0.2,barabassi,0.2631578947368421,0.5789473684210527,0.4,0.01,0.6,0.8463870967741935,0.4918064516129032
112,1000,0.2,barabassi,0.2631578947368421,0.631578947368421,0.4,0.01,0.6,0.8457741935483871,0.49183870967741933
113,1000,0.2,barabassi,0.2631578947368421,0.6842105263157894,0.4,0.01,0.6,0.8440967741935484,0.48864516129032254
114,1000,0.2,barabassi,0.2631578947368421,0.7368421052631579,0.4,0.01,0.6,0.8420967741935484,0.4850967741935484
115,1000,0.2,barabassi,0.2631578947368421,0.7894736842105263,0.4,0.01,0.6,0.8472903225806451,0.49432258064516127
116,1000,0.2,barabassi,0.2631578947368421,0.8421052631578947,0.4,0.01,0.6,0.8463225806451613,0.4955483870967742
117,1000,0.2,barabassi,0.2631578947368421,0.894736842105263,0.4,0.01,0.6,0.8471612903225806,0.494
118,1000,0.2,barabassi,0.2631578947368421,0.9473684210526315,0.4,0.01,0.6,0.8479677419354839,0.4952258064516129
119,1000,0.2,barabassi,0.2631578947368421,1.0,0.4,0.01,0.6,0.8448709677419355,0.4926774193548387
120,1000,0.2,barabassi,0.3157894736842105,0.0,0.4,0.01,0.6,0.7926451612903226,0.6374193548387096
121,1000,0.2,barabassi,0.3157894736842105,0.05263157894736842,0.4,0.01,0.6,0.822,0.5707096774193549
122,1000,0.2,barabassi,0.3157894736842105,0.10526315789473684,0.4,0.01,0.6,0.833258064516129,0.5365806451612903
123,1000,0.2,barabassi,0.3157894736842105,0.15789473684210525,0.4,0.01,0.6,0.8426129032258065,0.5249354838709677
124,1000,0.2,barabassi,0.3157894736842105,0.21052631578947367,0.4,0.01,0.6,0.8461290322580645,0.5159032258064515
125,1000,0.2,barabassi,0.3157894736842105,0.2631578947368421,0.4,0.01,0.6,0.8454838709677419,0.5087096774193548
126,1000,0.2,barabassi,0.3157894736842105,0.3157894736842105,0.4,0.01,0.6,0.847741935483871,0.5066774193548387
127,1000,0.2,barabassi,0.3157894736842105,0.3684210526315789,0.4,0.01,0.6,0.8470967741935485,0.504258064516129
128,1000,0.2,barabassi,0.3157894736842105,0.42105263157894735,0.4,0.01,0.6,0.8497096774193549,0.5035483870967742
