nodes,rho,network,beta,lambda,factor,physical_infectivity,hidden_infectivity,aware,infected
100,0.2,barabassi,0.0,0.0,0.01,0.0,0.0,0.9741935483870967,0.20000000000000007
100,0.2,barabassi,0.0,0.1,0.01,0.0,0.0,0.9741935483870967,0.20000000000000007
100,0.2,barabassi,0.0,0.2,0.01,0.0,0.0,0.9741935483870967,0.20000000000000007
100,0.2,barabassi,0.0,0.3,0.01,0.0,0.0,0.9741935483870967,0.20000000000000007
100,0.2,barabassi,0.0,0.4,0.01,0.0,0.0,0.9741935483870967,0.20000000000000007
100,0.2,barabassi,0.0,0.5,0.01,0.0,0.0,0.9741935483870967,0.20000000000000007
100,0.2,barabassi,0.0,0.6,0.01,0.0,0.0,0.9741935483870967,0.20000000000000007
100,0.2,barabassi,0.0,0.7,0.01,0.0,0.0,0.9741935483870967,0.20000000000000007
100,0.2,barabassi,0.0,0.8,0.01,0.0,0.0,0.9741935483870967,0.20000000000000007
100,0.2,barabassi,0.0,0.9,0.01,0.0,0.0,0.9741935483870967,0.20000000000000007
100,0.2,barabassi,0.0,1.0,0.01,0.0,0.0,0.9741935483870967,0.20000000000000007
100,0.2,barabassi,0.1,0.0,0.01,0.0,0.0,0.9741935483870967,0.2187096774193548
100,0.2,barabassi,0.1,0.1,0.01,0.0,0.0,0.9741935483870967,0.2096774193548387
100,0.2,barabassi,0.1,0.2,0.01,0.0,0.0,0.9741935483870967,0.2187096774193548
100,0.2,barabassi,0.1,0.3,0.01,0.0,0.0,0.9741935483870967,0.2187096774193548
100,0.2,barabassi,0.1,0.4,0.01,0.0,0.0,0.9741935483870967,0.2187096774193548
100,0.2,barabassi,0.1,0.5,0.01,0.0,0.0,0.9741935483870967,0.2096774193548387
100,0.2,barabassi,0.1,0.6,0.01,0.0,0.0,0.9741935483870967,0.2187096774193548
100,0.2,barabassi,0.1,0.7,0.01,0.0,0.0,0.9741935483870967,0.2187096774193548
100,0.2,barabassi,0.1,0.8,0.01,0.0,0.0,0.9741935483870967,0.2187096774193548
100,0.2,barabassi,0.1,0.9,0.01,0.0,0.0,0.9741935483870967,0.2187096774193548
100,0.2,barabassi,0.1,1.0,0.01,0.0,0.0,0.9741935483870967,0.2187096774193548
100,0.2,barabassi,0.2,0.0,0.01,0.0,0.0,0.9741935483870967,0.237741935483871
100,0.2,barabassi,0.2,0.1,0.01,0.0,0.0,0.9741935483870967,0.2867741935483872
100,0.2,barabassi,0.2,0.2,0.01,0.0,0.0,0.9741935483870967,0.2867741935483872
100,0.2,barabassi,0.2,0.3,0.01,0.0,0.0,0.9741935483870967,0.2867741935483872
100,0.2,barabassi,0.2,0.4,0.01,0.0,0.0,0.9741935483870967,0.2867741935483872
100,0.2,barabassi,0.2,0.5,0.01,0.0,0.0,0.9741935483870967,0.2867741935483872
100,0.2,barabassi,0.2,0.6,0.01,0.0,0.0,0.9741935483870967,0.2867741935483872
100,0.2,barabassi,0.2,0.7,0.01,0.0,0.0,0.9741935483870967,0.2867741935483872
100,0.2,barabassi,0.2,0.8,0.01,0.0,0.0,0.9741935483870967,0.2867741935483872
100,0.2,barabassi,0.2,0.9,0.01,0.0,0.0,0.9741935483870967,0.30354838709677423
100,0.2,barabassi,0.2,1.0,0.01,0.0,0.0,0.9741935483870967,0.2867741935483872
100,0.2,barabassi,0.3,0.0,0.01,0.0,0.0,0.9741935483870967,0.4016129032258064
100,0.2,barabassi,0.3,0.1,0.01,0.0,0.0,0.9741935483870967,0.3916129032258063
100,0.2,barabassi,0.3,0.2,0.01,0.0,0.0,0.9741935483870967,0.22838709677419367
100,0.2,barabassi,0.3,0.3,0.01,0.0,0.0,0.9741935483870967,0.3916129032258063
100,0.2,barabassi,0.3,0.4,0.01,0.0,0.0,0.9741935483870967,0.3916129032258063
100,0.2,barabassi,0.3,0.5,0.01,0.0,0.0,0.9741935483870967,0.3916129032258063
100,0.2,barabassi,0.3,0.6,0.01,0.0,0.0,0.9741935483870967,0.3916129032258063
100,0.2,barabassi,0.3,0.7,0.01,0.0,0.0,0.9741935483870967,0.3916129032258063
100,0.2,barabassi,0.3,0.8,0.01,0.0,0.0,0.9741935483870967,0.3916129032258063
100,0.2,barabassi,0.3,0.9,0.01,0.0,0.0,0.9741935483870967,0.36193548387096786
100,0.2,barabassi,0.3,1.0,0.01,0.0,0.0,0.9741935483870967,0.3406451612903224
100,0.2,barabassi,0.4,0.0,0.01,0.0,0.0,0.9741935483870967,0.3351612903225806
100,0.2,barabassi,0.4,0.1,0.01,0.0,0.0,0.9741935483870967,0.3225806451612903
100,0.2,barabassi,0.4,0.2,0.01,0.0,0.0,0.9741935483870967,0.3225806451612903
100,0.2,barabassi,0.4,0.3,0.01,0.0,0.0,0.9741935483870967,0.3225806451612903
100,0.2,barabassi,0.4,0.4,0.01,0.0,0.0,0.9741935483870967,0.3225806451612903
100,0.2,barabassi,0.4,0.5,0.01,0.0,0.0,0.9741935483870967,0.3225806451612903
100,0.2,barabassi,0.4,0.6,0.01,0.0,0.0,0.9741935483870967,0.3225806451612903
100,0.2,barabassi,0.4,0.7,0.01,0.0,0.0,0.9741935483870967,0.3225806451612903
100,0.2,barabassi,0.4,0.8,0.01,0.0,0.0,0.9741935483870967,0.3251612903225806
100,0.2,barabassi,0.4,0.9,0.01,0.0,0.0,0.9741935483870967,0.3225806451612903
100,0.2,barabassi,0.4,1.0,0.01,0.0,0.0,0.9741935483870967,0.22838709677419367
100,0.2,barabassi,0.5,0.0,0.01,0.0,0.0,0.9741935483870967,0.4574193548387096
100,0.2,barabassi,0.5,0.1,0.01,0.0,0.0,0.9741935483870967,0.41161290322580635
100,0.2,barabassi,0.5,0.2,0.01,0.0,0.0,0.9741935483870967,0.336774193548387
100,0.2,barabassi,0.5,0.3,0.01,0.0,0.0,0.9741935483870967,0.21935483870967737
100,0.2,barabassi,0.5,0.4,0.01,0.0,0.0,0.9741935483870967,0.237741935483871
100,0.2,barabassi,0.5,0.5,0.01,0.0,0.0,0.9741935483870967,0.3635483870967744
100,0.2,barabassi,0.5,0.6,0.01,0.0,0.0,0.9741935483870967,0.336774193548387
100,0.2,barabassi,0.5,0.7,0.01,0.0,0.0,0.9741935483870967,0.37225806451612914
100,0.2,barabassi,0.5,0.8,0.01,0.0,0.0,0.9741935483870967,0.3090322580645162
100,0.2,barabassi,0.5,0.9,0.01,0.0,0.0,0.9741935483870967,0.336774193548387
100,0.2,barabassi,0.5,1.0,0.01,0.0,0.0,0.9741935483870967,0.42129032258064536
100,0.2,barabassi,0.6,0.0,0.01,0.0,0.0,0.9741935483870967,0.5754838709677418
100,0.2,barabassi,0.6,0.1,0.01,0.0,0.0,0.9741935483870967,0.46451612903225803
100,0.2,barabassi,0.6,0.2,0.01,0.0,0.0,0.9741935483870967,0.542258064516129
100,0.2,barabassi,0.6,0.3,0.01,0.0,0.0,0.9741935483870967,0.47935483870967727
100,0.2,barabassi,0.6,0.4,0.01,0.0,0.0,0.9741935483870967,0.5225806451612903
100,0.2,barabassi,0.6,0.5,0.01,0.0,0.0,0.9741935483870967,0.5677419354838711
100,0.2,barabassi,0.6,0.6,0.01,0.0,0.0,0.9741935483870967,0.45935483870967736
100,0.2,barabassi,0.6,0.7,0.01,0.0,0.0,0.9741935483870967,0.4641935483870967
100,0.2,barabassi,0.6,0.8,0.01,0.0,0.0,0.9741935483870967,0.6006451612903227
100,0.2,barabassi,0.6,0.9,0.01,0.0,0.0,0.9741935483870967,0.5225806451612903
100,0.2,barabassi,0.6,1.0,0.01,0.0,0.0,0.9741935483870967,0.41032258064516147
100,0.2,barabassi,0.7,0.0,0.01,0.0,0.0,0.9741935483870967,0.44032258064516133
100,0.2,barabassi,0.7,0.1,0.01,0.0,0.0,0.9741935483870967,0.44806451612903225
