nodes,rho,network,beta,lambda,factor,physical_infectivity,hidden_infectivity,aware,infected
100,0.2,barabassi,0.3,0.6,0.01,0.0,0.0,0.9738709677419355,0.4370967741935483
100,0.2,barabassi,0.3,0.0,0.01,0.0,0.0,0.9735483870967742,0.4180645161290323
100,0.2,barabassi,0.4,0.0,0.01,0.0,0.0,0.9738709677419355,0.5203225806451612
100,0.2,barabassi,0.2,0.9,0.01,0.0,0.0,0.9722580645161291,0.4403225806451612
100,0.2,barabassi,0.4,0.2,0.01,0.0,0.0,0.9729032258064516,0.47451612903225815
100,0.2,barabassi,0.2,1.0,0.01,0.0,0.0,0.9729032258064516,0.37999999999999995
100,0.2,barabassi,0.2,0.3,0.01,0.0,0.0,0.9725806451612903,0.43483870967741933
100,0.2,barabassi,0.3,0.9,0.01,0.0,0.0,0.9729032258064516,0.48774193548387085
100,0.2,barabassi,0.2,0.6,0.01,0.0,0.0,0.9732258064516129,0.3703225806451613
100,0.2,barabassi,0.3,0.7,0.01,0.0,0.0,0.9738709677419355,0.4006451612903226
100,0.2,barabassi,0.2,0.2,0.01,0.0,0.0,0.9738709677419355,0.36096774193548387
100,0.2,barabassi,0.4,0.3,0.01,0.0,0.0,0.9725806451612903,0.49129032258064514
100,0.2,barabassi,0.2,0.5,0.01,0.0,0.0,0.9722580645161291,0.35322580645161306
100,0.2,barabassi,0.3,0.8,0.01,0.0,0.0,0.9719354838709678,0.43258064516129024
100,0.2,barabassi,0.3,0.1,0.01,0.0,0.0,0.9712903225806452,0.4287096774193549
100,0.2,barabassi,0.2,0.1,0.01,0.0,0.0,0.9741935483870967,0.3635483870967742
100,0.2,barabassi,0.4,0.1,0.01,0.0,0.0,0.9732258064516129,0.4693548387096774
100,0.2,barabassi,0.2,0.7,0.01,0.0,0.0,0.9741935483870967,0.4203225806451611
100,0.2,barabassi,0.1,0.0,0.01,0.0,0.0,0.9732258064516129,0.3422580645161291
100,0.2,barabassi,0.2,0.8,0.01,0.0,0.0,0.9716129032258065,0.41290322580645156
100,0.2,barabassi,0.1,0.5,0.01,0.0,0.0,0.9722580645161291,0.2809677419354839
100,0.2,barabassi,0.1,0.2,0.01,0.0,0.0,0.9725806451612903,0.3251612903225805
100,0.2,barabassi,0.3,1.0,0.01,0.0,0.0,0.9706451612903225,0.4167741935483871
100,0.2,barabassi,0.3,0.2,0.01,0.0,0.0,0.9680645161290322,0.4258064516129033
100,0.2,barabassi,0.3,0.4,0.01,0.0,0.0,0.9725806451612903,0.40548387096774197
100,0.2,barabassi,0.3,0.3,0.01,0.0,0.0,0.9722580645161291,0.447741935483871
