nodes,rho,network,beta,lambda,media,factor,physical_infectivity,hidden_infectivity,aware,infected
1000,0.2,barabassi1000,0.4,0.0,0.0,0.01,0.0,0.0,0.9270909090909091,0.6168181818181817
1000,0.2,barabassi1000,0.3,0.0,0.0,0.01,0.0,0.0,0.9270909090909091,0.5233636363636364
1000,0.2,barabassi1000,0.3,0.6,0.0,0.01,0.0,0.0,0.9270909090909091,0.5468181818181819
1000,0.2,barabassi1000,0.3,0.2,0.0,0.01,0.0,0.0,0.9270909090909091,0.5191818181818182
1000,0.2,barabassi1000,0.4,0.1,0.0,0.01,0.0,0.0,0.9270909090909091,0.5703636363636364
1000,0.2,barabassi1000,0.3,0.7,0.0,0.01,0.0,0.0,0.9270909090909091,0.519
1000,0.2,barabassi1000,0.3,1.0,0.0,0.01,0.0,0.0,0.9270909090909091,0.5337272727272727
1000,0.2,barabassi1000,0.3,0.1,0.0,0.01,0.0,0.0,0.9270909090909091,0.5380909090909091
1000,0.2,barabassi1000,0.4,0.3,0.0,0.01,0.0,0.0,0.9270909090909091,0.5773636363636364
1000,0.2,barabassi1000,0.4,0.2,0.0,0.01,0.0,0.0,0.9270909090909091,0.5819090909090909
1000,0.2,barabassi1000,0.2,0.1,0.0,0.01,0.0,0.0,0.9270909090909091,0.4601818181818182
1000,0.2,barabassi1000,0.2,0.5,0.0,0.01,0.0,0.0,0.9270909090909091,0.4640909090909091
1000,0.2,barabassi1000,0.3,0.3,0.0,0.01,0.0,0.0,0.9270909090909091,0.5137272727272728
1000,0.2,barabassi1000,0.2,0.2,0.0,0.01,0.0,0.0,0.9270909090909091,0.45781818181818185
1000,0.2,barabassi1000,0.2,0.3,0.0,0.01,0.0,0.0,0.9270909090909091,0.45936363636363636
1000,0.2,barabassi1000,0.3,0.4,0.0,0.01,0.0,0.0,0.9270909090909091,0.5335454545454545
1000,0.2,barabassi1000,0.3,0.9,0.0,0.01,0.0,0.0,0.9270909090909091,0.5182727272727273
1000,0.2,barabassi1000,0.2,0.0,0.0,0.01,0.0,0.0,0.9270909090909091,0.4637272727272727
1000,0.2,barabassi1000,0.2,0.6,0.0,0.01,0.0,0.0,0.9270909090909091,0.44018181818181823
1000,0.2,barabassi1000,0.3,0.5,0.0,0.01,0.0,0.0,0.9270909090909091,0.5465454545454546
1000,0.2,barabassi1000,0.3,0.8,0.0,0.01,0.0,0.0,0.9270909090909091,0.5211818181818182
1000,0.2,barabassi1000,0.2,0.8,0.0,0.01,0.0,0.0,0.9270909090909091,0.4532727272727273
1000,0.2,barabassi1000,0.2,0.4,0.0,0.01,0.0,0.0,0.9270909090909091,0.4393636363636364
1000,0.2,barabassi1000,0.2,0.9,0.0,0.01,0.0,0.0,0.9270909090909091,0.44081818181818183
1000,0.2,barabassi1000,0.1,0.4,0.0,0.01,0.0,0.0,0.9270909090909091,0.36081818181818187
1000,0.2,barabassi1000,0.2,1.0,0.0,0.01,0.0,0.0,0.9270909090909091,0.4433636363636364
1000,0.2,barabassi1000,0.1,0.0,0.0,0.01,0.0,0.0,0.9270909090909091,0.34445454545454546
1000,0.2,barabassi1000,0.2,0.7,0.0,0.01,0.0,0.0,0.9270909090909091,0.4438181818181818
1000,0.2,barabassi1000,0.1,0.2,0.0,0.01,0.0,0.0,0.9270909090909091,0.35600000000000004
1000,0.2,barabassi1000,0.1,0.3,0.0,0.01,0.0,0.0,0.9270909090909091,0.35054545454545455
1000,0.2,barabassi1000,0.1,0.5,0.0,0.01,0.0,0.0,0.9270909090909091,0.3457272727272727
1000,0.2,barabassi1000,0.1,0.9,0.0,0.01,0.0,0.0,0.9270909090909091,0.3547272727272727
1000,0.2,barabassi1000,0.1,0.6,0.0,0.01,0.0,0.0,0.9270909090909091,0.34654545454545455
1000,0.2,barabassi1000,0.1,0.1,0.0,0.01,0.0,0.0,0.9270909090909091,0.36818181818181817
1000,0.2,barabassi1000,0.1,0.7,0.0,0.01,0.0,0.0,0.9270909090909091,0.3462727272727273
1000,0.2,barabassi1000,0.1,0.8,0.0,0.01,0.0,0.0,0.9270909090909091,0.3475454545454545
1000,0.2,barabassi1000,0.1,1.0,0.0,0.01,0.0,0.0,0.9270909090909091,0.3398181818181818
1000,0.2,barabassi1000,0.4,0.6,0.0,0.01,0.0,0.0,0.9270909090909091,0.597090909090909
1000,0.2,barabassi1000,0.6,0.0,0.0,0.01,0.0,0.0,0.9270909090909091,0.6924545454545454
1000,0.2,barabassi1000,0.5,0.0,0.0,0.01,0.0,0.0,0.9270909090909091,0.6582727272727273
1000,0.2,barabassi1000,0.5,0.3,0.0,0.01,0.0,0.0,0.9270909090909091,0.6255454545454545
1000,0.2,barabassi1000,0.5,0.1,0.0,0.01,0.0,0.0,0.9270909090909091,0.6462727272727272
1000,0.2,barabassi1000,0.4,0.7,0.0,0.01,0.0,0.0,0.9270909090909091,0.5640909090909091
1000,0.2,barabassi1000,0.4,0.5,0.0,0.01,0.0,0.0,0.9270909090909091,0.5885454545454546
1000,0.2,barabassi1000,0.4,0.4,0.0,0.01,0.0,0.0,0.9270909090909091,0.5809090909090909
1000,0.2,barabassi1000,0.4,1.0,0.0,0.01,0.0,0.0,0.9270909090909091,0.5714545454545455
1000,0.2,barabassi1000,0.5,0.6,0.0,0.01,0.0,0.0,0.9270909090909091,0.6225454545454546
1000,0.2,barabassi1000,0.5,0.7,0.0,0.01,0.0,0.0,0.9270909090909091,0.6268181818181818
1000,0.2,barabassi1000,0.5,0.2,0.0,0.01,0.0,0.0,0.9270909090909091,0.6188181818181818
1000,0.2,barabassi1000,0.4,0.8,0.0,0.01,0.0,0.0,0.9270909090909091,0.5820909090909091
1000,0.2,barabassi1000,0.5,0.4,0.0,0.01,0.0,0.0,0.9270909090909091,0.6340909090909093
1000,0.2,barabassi1000,0.6,0.1,0.0,0.01,0.0,0.0,0.9270909090909091,0.6780909090909091
1000,0.2,barabassi1000,0.6,0.2,0.0,0.01,0.0,0.0,0.9270909090909091,0.6701818181818182
1000,0.2,barabassi1000,0.5,0.9,0.0,0.01,0.0,0.0,0.9270909090909091,0.6352727272727273
1000,0.2,barabassi1000,0.4,0.9,0.0,0.01,0.0,0.0,0.9270909090909091,0.5683636363636363
1000,0.2,barabassi1000,0.7,0.1,0.0,0.01,0.0,0.0,0.9270909090909091,0.707090909090909
1000,0.2,barabassi1000,0.5,0.5,0.0,0.01,0.0,0.0,0.9270909090909091,0.6126363636363636
1000,0.2,barabassi1000,0.5,1.0,0.0,0.01,0.0,0.0,0.9270909090909091,0.6304545454545454
1000,0.2,barabassi1000,0.6,0.3,0.0,0.01,0.0,0.0,0.9270909090909091,0.6504545454545455
1000,0.2,barabassi1000,0.7,0.2,0.0,0.01,0.0,0.0,0.9270909090909091,0.7022727272727273
1000,0.2,barabassi1000,0.7,0.0,0.0,0.01,0.0,0.0,0.9270909090909091,0.7009090909090908
1000,0.2,barabassi1000,0.6,0.4,0.0,0.01,0.0,0.0,0.9270909090909091,0.6731818181818182
1000,0.2,barabassi1000,0.6,0.8,0.0,0.01,0.0,0.0,0.9270909090909091,0.6473636363636364
1000,0.2,barabassi1000,0.5,0.8,0.0,0.01,0.0,0.0,0.9270909090909091,0.6248181818181817
1000,0.2,barabassi1000,0.6,0.6,0.0,0.01,0.0,0.0,0.9270909090909091,0.661909090909091
1000,0.2,barabassi1000,0.6,1.0,0.0,0.01,0.0,0.0,0.9270909090909091,0.676
1000,0.2,barabassi1000,0.6,0.5,0.0,0.01,0.0,0.0,0.9270909090909091,0.6522727272727272
1000,0.2,barabassi1000,0.6,0.7,0.0,0.01,0.0,0.0,0.9270909090909091,0.6595454545454545
1000,0.2,barabassi1000,0.7,0.3,0.0,0.01,0.0,0.0,0.9270909090909091,0.6896363636363636
1000,0.2,barabassi1000,0.7,0.4,0.0,0.01,0.0,0.0,0.9270909090909091,0.6927272727272727
1000,0.2,barabassi1000,0.6,0.9,0.0,0.01,0.0,0.0,0.9270909090909091,0.6463636363636364
1000,0.2,barabassi1000,0.7,0.5,0.0,0.01,0.0,0.0,0.9270909090909091,0.6950909090909091
1000,0.2,barabassi1000,0.0,0.9,0.0,0.01,0.0,0.0,0.9270909090909091,0.2
1000,0.2,barabassi1000,0.7,0.6,0.0,0.01,0.0,0.0,0.9270909090909091,0.6985454545454547
1000,0.2,barabassi1000,0.7,0.8,0.0,0.01,0.0,0.0,0.9270909090909091,0.6811818181818181
1000,0.2,barabassi1000,0.8,0.0,0.0,0.01,0.0,0.0,0.9270909090909091,0.7336363636363636
1000,0.2,barabassi1000,0.7,0.7,0.0,0.01,0.0,0.0,0.9270909090909091,0.6916363636363636
1000,0.2,barabassi1000,0.0,0.8,0.0,0.01,0.0,0.0,0.9270909090909091,0.2
1000,0.2,barabassi1000,0.0,0.0,0.0,0.01,0.0,0.0,0.9270909090909091,0.2
1000,0.2,barabassi1000,0.0,0.4,0.0,0.01,0.0,0.0,0.9270909090909091,0.2
1000,0.2,barabassi1000,0.0,0.1,0.0,0.01,0.0,0.0,0.9270909090909091,0.2
1000,0.2,barabassi1000,0.0,0.3,0.0,0.01,0.0,0.0,0.9270909090909091,0.2
1000,0.2,barabassi1000,0.0,0.7,0.0,0.01,0.0,0.0,0.9270909090909091,0.2
1000,0.2,barabassi1000,0.0,0.2,0.0,0.01,0.0,0.0,0.9270909090909091,0.2
1000,0.2,barabassi1000,0.7,0.9,0.0,0.01,0.0,0.0,0.9270909090909091,0.6890909090909092
1000,0.2,barabassi1000,0.0,0.6,0.0,0.01,0.0,0.0,0.9270909090909091,0.2
1000,0.2,barabassi1000,0.0,0.5,0.0,0.01,0.0,0.0,0.9270909090909091,0.2
1000,0.2,barabassi1000,0.8,0.5,0.0,0.01,0.0,0.0,0.9270909090909091,0.6971818181818181
1000,0.2,barabassi1000,0.8,0.7,0.0,0.01,0.0,0.0,0.9270909090909091,0.7177272727272728
1000,0.2,barabassi1000,0.7,1.0,0.0,0.01,0.0,0.0,0.9270909090909091,0.6806363636363636
1000,0.2,barabassi1000,0.8,0.1,0.0,0.01,0.0,0.0,0.9270909090909091,0.73
1000,0.2,barabassi1000,0.8,0.6,0.0,0.01,0.0,0.0,0.9270909090909091,0.7190909090909091
1000,0.2,barabassi1000,0.8,0.2,0.0,0.01,0.0,0.0,0.9270909090909091,0.7124545454545455
1000,0.2,barabassi1000,0.9,0.9,0.0,0.01,0.0,0.0,0.9270909090909091,0.7416363636363635
1000,0.2,barabassi1000,0.9,0.1,0.0,0.01,0.0,0.0,0.9270909090909091,0.7405454545454545
