nodes,rho,network,beta,lambda,factor,physical_infectivity,hidden_infectivity,aware,infected
40,0.2,hiv,0.0,0.0,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.0,0.1,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.0,0.2,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.0,0.3,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.0,0.4,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.0,0.5,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.0,0.6,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.0,0.7,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.0,0.8,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.0,0.9,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.0,1.0,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.1,0.0,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.1,0.1,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.1,0.2,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.1,0.3,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.1,0.4,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.1,0.5,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.1,0.6,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.1,0.7,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.1,0.8,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.1,0.9,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.1,1.0,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.2,0.0,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.2,0.1,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.2,0.2,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.2,0.3,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.2,0.4,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.2,0.5,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.2,0.6,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.2,0.7,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.2,0.8,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.2,0.9,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.2,1.0,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.3,0.0,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.3,0.1,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.3,0.2,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.3,0.3,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.3,0.4,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.3,0.5,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.3,0.6,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.3,0.7,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.3,0.8,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.3,0.9,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.3,1.0,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.4,0.0,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.4,0.1,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.4,0.2,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.4,0.3,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.4,0.4,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.4,0.5,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.4,0.6,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.4,0.7,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.4,0.8,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.4,0.9,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.4,1.0,0.01,0.0,0.0,0.970967741935484,0.20000000000000007
40,0.2,hiv,0.5,0.0,0.01,0.0,0.0,0.970967741935484,0.2233870967741935
40,0.2,hiv,0.5,0.1,0.01,0.0,0.0,0.970967741935484,0.2233870967741935
40,0.2,hiv,0.5,0.2,0.01,0.0,0.0,0.970967741935484,0.2233870967741935
40,0.2,hiv,0.5,0.3,0.01,0.0,0.0,0.970967741935484,0.2233870967741935
40,0.2,hiv,0.5,0.4,0.01,0.0,0.0,0.970967741935484,0.2233870967741935
40,0.2,hiv,0.5,0.5,0.01,0.0,0.0,0.970967741935484,0.2233870967741935
40,0.2,hiv,0.5,0.6,0.01,0.0,0.0,0.970967741935484,0.2233870967741935
40,0.2,hiv,0.5,0.7,0.01,0.0,0.0,0.970967741935484,0.2233870967741935
40,0.2,hiv,0.5,0.8,0.01,0.0,0.0,0.970967741935484,0.2233870967741935
40,0.2,hiv,0.5,0.9,0.01,0.0,0.0,0.970967741935484,0.2233870967741935
40,0.2,hiv,0.5,1.0,0.01,0.0,0.0,0.970967741935484,0.2233870967741935
40,0.2,hiv,0.6,0.0,0.01,0.0,0.0,0.970967741935484,0.2233870967741935
40,0.2,hiv,0.6,0.1,0.01,0.0,0.0,0.970967741935484,0.2233870967741935
40,0.2,hiv,0.6,0.2,0.01,0.0,0.0,0.970967741935484,0.2233870967741935
40,0.2,hiv,0.6,0.3,0.01,0.0,0.0,0.970967741935484,0.2233870967741935
40,0.2,hiv,0.6,0.4,0.01,0.0,0.0,0.970967741935484,0.2233870967741935
40,0.2,hiv,0.6,0.5,0.01,0.0,0.0,0.970967741935484,0.2233870967741935
40,0.2,hiv,0.6,0.6,0.01,0.0,0.0,0.970967741935484,0.2233870967741935
40,0.2,hiv,0.6,0.7,0.01,0.0,0.0,0.970967741935484,0.2233870967741935
40,0.2,hiv,0.6,0.8,0.01,0.0,0.0,0.970967741935484,0.2233870967741935
40,0.2,hiv,0.6,0.9,0.01,0.0,0.0,0.970967741935484,0.2233870967741935
40,0.2,hiv,0.6,1.0,0.01,0.0,0.0,0.970967741935484,0.2233870967741935
40,0.2,hiv,0.7,0.0,0.01,0.0,0.0,0.970967741935484,0.24596774193548387
40,0.2,hiv,0.7,0.1,0.01,0.0,0.0,0.970967741935484,0.24596774193548387
40,0.2,hiv,0.7,0.2,0.01,0.0,0.0,0.970967741935484,0.24596774193548387
40,0.2,hiv,0.7,0.3,0.01,0.0,0.0,0.970967741935484,0.24596774193548387
40,0.2,hiv,0.7,0.4,0.01,0.0,0.0,0.970967741935484,0.24596774193548387
40,0.2,hiv,0.7,0.5,0.01,0.0,0.0,0.970967741935484,0.24596774193548387
40,0.2,hiv,0.7,0.6,0.01,0.0,0.0,0.970967741935484,0.24596774193548387
40,0.2,hiv,0.7,0.7,0.01,0.0,0.0,0.970967741935484,0.24596774193548387
40,0.2,hiv,0.7,0.8,0.01,0.0,0.0,0.970967741935484,0.24596774193548387
40,0.2,hiv,0.7,0.9,0.01,0.0,0.0,0.970967741935484,0.24596774193548387
40,0.2,hiv,0.7,1.0,0.01,0.0,0.0,0.970967741935484,0.24596774193548387
40,0.2,hiv,0.8,0.0,0.01,0.0,0.0,0.970967741935484,0.24596774193548387
40,0.2,hiv,0.8,0.1,0.01,0.0,0.0,0.970967741935484,0.24596774193548387
40,0.2,hiv,0.8,0.2,0.01,0.0,0.0,0.970967741935484,0.24596774193548387
40,0.2,hiv,0.8,0.3,0.01,0.0,0.0,0.970967741935484,0.24596774193548387
40,0.2,hiv,0.8,0.4,0.01,0.0,0.0,0.970967741935484,0.24596774193548387
40,0.2,hiv,0.8,0.5,0.01,0.0,0.0,0.970967741935484,0.2701612903225807
40,0.2,hiv,0.8,0.6,0.01,0.0,0.0,0.970967741935484,0.24596774193548387
40,0.2,hiv,0.8,0.7,0.01,0.0,0.0,0.970967741935484,0.24596774193548387
40,0.2,hiv,0.8,0.8,0.01,0.0,0.0,0.970967741935484,0.24596774193548387
40,0.2,hiv,0.8,0.9,0.01,0.0,0.0,0.970967741935484,0.24596774193548387
40,0.2,hiv,0.8,1.0,0.01,0.0,0.0,0.970967741935484,0.24516129032258063
